lemmatized_text
madde
kanu
söz
ve
öz
değin
bütün
konu
uygula
kanu
uygula
bir
hüküm
yoksa
hakim
örf
ve
adet
hukuk
göre
bu
da
yoksa
kendi
kanu
koy
ol
nasıl
bir
kural
koy
on
göre
kar
ver
hakim
kar
ver
bilimsel
görüş
ve
yargı
karar
yararlan
hukuki
ilişki
kapsam
dürüst
davran
madde
herkes
hak
kullan
ve
borç
yerine
getir
dürüst
kural
uy
zor
bir
hakk
açık
kötü
kullan
hukuk
düze
koru
iyiniyet
madde
kanu
iyiniyet
hukuki
bir
sonuç
bağla
durum
asıl
ol
iyiniyet
varlığ
ancak
durum
gerek
göre
kendi
bek
öze
göster
kimse
iyi
yet
iddia
bulun
haki
takdir
yetki
madde
kanu
takdir
yetki
tanı
veya
durum
gerek
ya
da
hak
sebep
göz
ön
tut
emret
konu
hakim
hukuk
ve
hakkaniyet
göre
kar
ver
genel
nitelik
hüküm
madde
bu
kanu
ve
borç
kanun
genel
nitelik
hüküm
uygun
düş
ölçü
tüm
özel
hukuk
ilişki
uygula
ispat
kural
ispat
yük
madde
kanu
aksine
bir
hüküm
bulun
taraf
her
biri
hakk
dayan
olgu
varlığ
ispatla
yüküm
resmi
belge
ispat
madde
resmi
sicil
ve
senet
belgele
olgu
doğru
kanıt
oluş
bu
içeriğ
doğru
olmadığ
ispat
kanun
başka
bir
hüküm
bulun
her
hangi
bir
şek
bağ
değil
birinci
kitap
kişi
hukuk
birinci
kısım
gerçek
kişi
birinci
bölü
kişilik
genel
ol
hak
ehliyet
madde
her
insa
hak
ehliyet
var
buna
göre
bütün
insan
hukuk
düzen
sınır
içinde
hakla
ve
borç
ehil
ol
eşit
fiil
ehliyet
kapsam
madde
fiil
ehliyet
sahip
ol
kimse
kendi
fiil
hak
edin
ve
borç
alt
gir
koşul
genel
ol
madde
ayırt
et
güc
sahip
ve
kısıt
ol
her
ergin
kişi
fiil
ehliyet
var
ergin
madde
ergin
on
sekiz
yaş
doldur
başla
evlen
kişi
ergin
kıl
ergin
kıl
madde
on
beş
yaş
doldur
küçük
kendi
isteğ
ve
veli
rıza
mahkeme
ergin
kıl
ir
ayırt
et
güc
madde
yaş
küçük
yüzünden
veya
akıl
hastalığ
akıl
zayıf
sarhoş
ya
da
bu
benzer
sebep
biri
akla
uygun
biçim
davran
yeteneğ
yoksun
ol
herkes
bu
kanu
göre
ayırt
et
güc
sahip
tir
fiil
ehliyet
genel
ol
madde
ayırt
et
güc
bulun
küçük
ve
kısıt
fiil
ehliyet
yok
ayırt
et
güc
bulun
madde
kanu
göster
ayrık
durum
saklı
kal
üzere
ayırt
et
güc
bul
maya
kimse
fiil
hukuki
sonuç
doğur
ayırt
et
güc
sahip
küçükle
ve
kısıt
madde
ayırt
et
güc
sahip
küçükle
ve
kısıt
yasal
temsilci
rıza
olmadık
kendi
işlem
borç
alt
gir
karşılık
kazan
ve
kişi
sıkı
sıkı
bağ
hak
kullan
bu
rıza
gerekli
değil
ayırt
et
güc
sahip
küçükle
ve
kısıt
hak
fiil
sorumlu
iv
hışım
kan
hısım
madde
kan
hısım
derece
hısım
birbiri
alay
an
doğu
sayı
belli
olur
biri
diğer
gelen
kişi
ara
hışım
biri
diğer
gel
de
ortak
bir
kökten
gelen
kişi
ara
tansoy
hısım
var
kayın
hısım
madde
eş
biri
ile
diğer
eş
kan
hısım
aynı
tür
ve
derece
kayın
hısım
olur
kayın
hısım
kendi
meydan
getir
evliliğ
son
er
orta
kalk
yerleşim
yer
tan
madde
yerleşim
yer
bir
kimse
sürekli
kal
niyet
otur
ye
bir
kimse
in
aynı
zaman
birden
çok
yerleşim
yer
olamaz
bu
kural
ticari
ve
sınai
kuruluş
hakkında
uygula
yerleşim
yerin
değiş
ve
otur
yer
madde
bir
yerleşim
yerin
değiş
yeni
edin
bağ
önce
yerleşim
yer
belli
ol
veya
yabancı
ülke
yerleşim
yer
bırak
hal
henüz
bir
yerleşim
yer
edin
ol
kimse
halen
otur
ye
yerleşim
yer
say
yasal
yerleşim
yer
madde
velayet
alt
bulun
çocuğ
yerleşim
yer
ana
veba
ba
ana
ve
baba
ortak
yerleşim
yer
yoksa
çocuğ
kendi
bırak
ana
veya
baba
yerleşim
yeridir
diğer
hal
çocuğ
otur
yer
on
yerleşim
yer
say
vesayet
alt
kişi
yerleşim
yer
bağ
ol
vesayet
makam
bulun
ye
kurum
bulun
madde
bir
öğreti
kurum
devam
et
için
bir
yer
bulun
ya
da
eğitim
sağlık
bakı
veya
ceza
kurum
kon
yeni
yerleşim
yer
edin
sonuc
doğur
kişiliğ
koru
vazgeç
ve
aşırı
sinir
lama
karşı
madde
kimse
hak
ve
fiil
ehliyet
kısmen
de
ol
vazgeç
kimse
özgürlük
vazgeç
veya
hukuk
ya
da
ahlak
aykırı
ol
sınırla
yazılı
rıza
üzerine
insan
köken
biyolojik
madde
alın
aş
ilan
aşı
nakli
mümkün
ancak
biyolojik
ad
ver
borc
alt
gir
ol
edim
yerine
getir
iste
maddi
ve
manevi
tazminat
istem
bul
saldırı
karşı
ilk
madde
hukuk
aykırı
ol
kişilik
hakk
saldır
kim
se
haki
saldırı
bulun
karşı
koru
iste
kişilik
hakk
zedele
kimse
rıza
daha
üstün
nitelik
özel
veya
kamu
yarar
ya
da
kanu
ver
yetki
kullan
sebep
biri
hak
kıl
kişilik
halk
arın
yapılan
her
saldırı
hukuk
aykırı
dava
madde
davacı
haki
saldırı
tehlike
ön
sür
ol
saldırı
son
ver
son
er
ol
bile
etki
devam
ed
saldırı
hukuk
aykırı
tespit
iste
davacı
bu
birlikte
düzeltmen
veya
karar
üçüncü
kişi
bildir
ya
da
yayımla
istem
de
bulun
davacı
maddi
ve
manevi
tazminat
istem
ile
hukuk
aykırı
saldırı
dolayısıyla
el
ed
ol
kazanc
vekalet
iş
gör
erin
göre
kendi
ver
ilişkin
istem
bulun
hakk
saklı
manevi
tazminat
istem
karşı
taraf
kabul
ed
olmadık
devred
miras
bırak
tarafından
ileri
sürül
olmadık
miras
geç
davacı
kişilik
hak
koru
için
kendi
yerleşim
yer
veya
davalı
yerleşim
yer
mahkeme
dav
aç
ad
üzer
hak
ad
koru
madde
ad
kullan
çekiş
ol
kişi
hakk
tespit
dav
ed
ad
hak
ol
kullan
kişi
buna
son
ver
hak
kullan
kusur
ise
ayrıca
maddi
zarar
gider
ve
uğra
hak
niteliğ
gerek
manevi
tazminat
öde
iste
ad
değiş
madde
ad
değiş
ancak
hak
sebep
dayan
hakim
de
iste
değişik
ikinci
fıkra
ad
değiş
nüfus
sicil
kayıt
ve
bas
ilan
kurum
ilan
partal
ilan
ol
bu
ilan
hükm
ver
mahke
karar
ver
tarih
dosya
esas
ve
kar
numara
ile
ad
değiş
kar
ver
kişi
nüfus
kayıt
ol
ye
doğu
tarihi
ana
ve
baba
ad
önce
ad
ve
soyad
mahke
karar
ver
yeni
ad
ve
soyad
ye
al
ad
değiş
kişisel
durum
değişmez
ad
değiş
zarar
gör
kimse
bu
öğren
gün
başla
bir
yıl
içinde
değiş
karar
kaldır
dav
ed
ir
kişiliğ
başlangıc
ve
son
doğu
ve
ölüm
madde
kişilik
çocuğ
sağ
ol
tamamıyla
doğ
an
başla
ve
ölü
son
er
çocuk
hak
ehliyet
sağ
doğ
koşul
ana
rahm
düş
an
başla
el
ed
sağ
ol
ve
ölü
ispat
ispat
yük
madde
bir
hakk
kullan
için
bir
kimse
sağ
veya
ölü
ol
veya
belirli
bir
zaman
ya
da
başka
bir
kimse
ölüm
sağ
bulun
ileri
sür
kimse
iddia
ispat
et
zor
birden
fazla
kişi
hangi
sin
önce
veya
sonra
ol
ispat
ed
hepsi
aynı
an
öl
say
ispat
araç
genel
ol
madde
doğu
ve
ölüm
nüfus
sicil
kayıt
ispat
ol
nüfus
sicil
bir
kayıt
yoksa
veya
bulun
kay
doğru
ol
anlaş
lira
ger
çek
durum
her
türlü
kanıtla
ispat
ed
ölüm
karine
madde
bir
kimse
ölümüne
kesin
gözle
bak
gerek
durum
içinde
kaybol
cesed
bulun
ol
bile
gerçekten
öl
say
gaip
karar
genel
ol
madde
ölüm
tehlike
içinde
kaybol
veya
kendi
uzun
zaman
beri
haber
alın
bir
kimse
ölü
hakkında
kuvvet
olasılık
var
hak
bu
ölü
bağ
ol
başvuru
üzerine
mahke
bu
kişi
gaip
kar
ver
yetkili
mark
em
kişi
son
yerleşim
yer
eğer
hiç
yerleş
nüfus
sicil
kayıt
ol
ye
böyle
bir
kayıt
da
yoksa
ana
veya
baba
kayıt
bulun
ye
mahkeme
yargıla
usul
madde
gaip
karar
iste
için
ölüm
tehlike
üzer
en
az
bir
yıl
veya
son
haber
tarih
üzer
en
az
beş
yıl
geçmiş
ol
gerek
mahke
gaip
kar
ver
kişi
hakkında
bilgi
bulun
kimse
belirli
bir
süre
bilgi
ver
için
usul
göre
yap
an
ilan
çağır
bu
sür
ilk
ilan
yap
gün
başla
en
az
altı
ay
ışte
düş
madde
gaip
kar
ver
kişi
ilan
sür
dol
orta
çık
veya
kendi
haber
alın
ya
da
ol
tarih
tespit
ed
ga
iplik
istem
düş
hükm
madde
ilan
sonuç
alın
mahke
gaip
kar
ver
ve
ölü
bağ
hakla
aynen
gaib
ölü
ispatla
gibi
kullan
gaip
karar
ölüm
tehlike
