madde_no,madde_baslik,token_count,unique_token_count,sentence_count
484,Ayırt etme gücüne sa hip olan vesayet altındaki kişi veya her ilgili,37,34,3
485,Vesayet makamı,29,26,3
486,Gecikmesinde tehlike bulunan h,34,34,2
487,Vesay et makamı,24,24,2
488,İlgilil er,41,39,3
489,Görevi sona eren vasi,36,34,2
490,Son rapor ve k esin hesap belli zamanlarda verilen rapor ve hesaplar gibi vesaye t maka mı tarafından incelenir ve onaylanır,26,22,2
491,Son rapor ve kesin h esap onaylandıktan ve malvarlığı vesayet altındaki kişiye,79,61,4
492,Sorumlu vasi ve kayyıma karşı açılacak tazmin at davası kesin hesabın tebliğ edildiği tarihten başlayarak bir y ıl geç mekle zamanaşımına uğrar,76,55,5
493,Olağa n zama naşımı süresi işlemeye başlamadan önce zarar gören tarafından bilinmesi veya anlaşılması olanağı b ulunmayan bir hesap yanlışlığına veya bir sorumluluk sebebine dayanan tazminat da vası,60,52,3
494,Vesayet altındaki kişinin vasi veya Devlete karşı alaca kları imtiyazlı alacaktır,27,26,2
495,Mirasbırakanın birinci derece miras çıları,29,29,4
496,Altsoyu bulunmayan mirasbırakanın mirasçıları,48,43,4
497,Altsoyu,137,79,7
498,Evlilik dışında doğmuş ve soybağı,25,24,1
499,Sağ kalan eş,62,43,2
500,Evl,30,28,4
501,Mirasçı bırakmaksızın öl en kimsenin mirası Devlete geçer,23,22,2
502,Vasiyet yapabilmek için ayırt etme gücüne sahip ve onbeş yaşını doldu rmuş olmak gerekir,18,18,2
503,Miras sözleşmesi yapabilmek için ayırt etme gücüne sahi p ve e rgin olmak,18,18,2
504,Mirasbırakanın yanılma,73,60,4
505,,41,40,3
506,Saklı pay aşağıdaki oranlardan ibarettir,58,45,2
507,Tasa rruf edilebilir kısım,45,41,2
508,Mirasbırakanın sağlararası karşılıks ız kaz andırm aları,19,19,2
509,Mirasbırakanın kendi ölümünde ödenmek üzere üçüncü k işi lehine hayat sigortası sözleşmesi yapması veya böyle bir kişi yi son radan lehdar olarak tayin etmesi ya da sigortacıya karşı ol an istem hakkını sağlararası veya ölüme bağlı tasarrufla karşılıksız olarak üçüncü kişiye devretmesi h,58,54,2
510,Aşağıdaki durumlarda mirasbırakan,45,40,2
511,Mirasçılıkt an çıkarılan kimse,56,43,4
512,Mirasçılıktan çıkarma,70,56,4
513,Mirasbırakan,66,55,4
514,Mirasbırakan,33,32,3
515,Mirasbırakan,54,47,5
516,Mirasbırakan,37,30,3
517,Mirasbırakan,91,68,4
518,Bırakılan beli rli mal,55,43,3
519,Tereke mevcu dunu veya tasarrufu yerine getirme yükümlüsüne yapılan kazandırmayı ya da saklı payı zedeleyen tasarrufl arın orantılı olarak tenkisi istenebilir,77,61,4
520,Mirasbırakan,39,37,3
521,Mirasbırakan,29,29,4
522,Tasarrufta geçiş anı belirtilmemişse miras,52,44,4
523,Önmirasçıya geçen mirasın sulh mahkemesince de fteri tutulur,54,49,5
524,Önmirasçı,19,19,3
525,Artmirasçı,44,40,4
526,Mirasbırakan,31,29,3
527,Mirasbırakan,83,63,6
529,Mirastan feragat sözleşmesi belli bir kişi lehin e yapılmış olup bu kişinin herhangi bir sebeple m irasçı olamaması h,55,37,3
530,Mirasın açılması anında tereke,51,46,2
531,Vasiyet,19,18,2
532,Resm,30,27,3
533,Mirasbırakan,36,34,5
534,Vasiyetnameye tarih ve imza konul duktan hemen sonra mirasbırakan,52,48,4
535,Mirasbırakan vasiyet nameyi bizzat okuyamaz veya imzalayamazsa,69,54,3
536,Fiil ehliyeti bulunmayanlar,76,58,4
538,El yazılı vasiyetnamenin yapıldığı yıl,47,42,3
539,Mirasbırakan,67,58,4
540,Mirasbırakan tarafından görevlendirilen tanıklardan biri,126,107,5
541,Mirasbırakan için sonradan diğer şekillerde vasiyetname yapm a olanağı doğarsa,28,27,2
542,Mirasbıra kan,29,27,3
543,Mirasbırakan,87,74,6
545,Miras sözleşmesinin g eçerli olması için resm,38,36,2
546,Miras sözleşmesi,62,54,4
547,Miras sözleşmesi gereğinc e sağl araras ı edimleri ist eme hakkı bulunan taraf,33,33,2
548,Mirasçı atan an vey a kendi sine belirli mal bırakılan kişi mirasbırakanın ölümünde sağ değilse,50,48,3
549,Miras sözleşmesi veya vasiyetnameyle yapılan ölüme bağlı ka zandırmalar,35,35,2
550,Mirasbırakan,72,55,5
551,Birden çok vasiyeti yerine getirme görevlisinin atanmış olması h,74,60,4
552,Mirasbırakan,117,99,11
553,Mirasbırakan taahhüt etmiş olmadıkça,49,48,4
554,Vasiyeti yerine getirme görevlisinin gör evi,38,33,4
555,Vasiyeti yerine getirme görevlisi,62,54,6
556,Vasiyeti yerine getirme görevli si,31,30,2
557,Aşağıdaki sebeplerle ölüme bağlı bir tasarrufun ip tali için dava açılabilir,48,38,2
558,İptal davası,57,46,4
559,İptal davası açma hakkı,59,48,3
560,Saklı paylarının karşılığını alamayan mirasçılar,41,38,3
561,Saklı pay sahibi mirasçılara ölüme bağlı tasarrufla yapılan ve tasarruf edilebilir kısmı aşan kazandırmaların onl arın saklı paylarını aşan kısmı orantılı olarak tenkise t,62,42,3
562,Mirasbırakan,74,64,3
563,Tenkis,64,51,3
564,Değerinde azalma meydana gelmeksizin bölünmesine ol anak bulunmayan belirli bir mal vasiyeti tenkise t,76,61,4
565,Aşağıdaki karşılıksız kazandırmalar,89,72,2
566,Kendisine tenkise t,57,47,3
567,Mirasbırakanın kendi ölümünde ödenmek üzere üçüncü kişi lehine hayat sigortası yaptığı veya böyle bir kişiyi lehdar olarak sonra belirlediği ya da sigortacıya karşı olan istem hakkını sağlararası veya ölüme bağlı tasarruf la karşılıksız olarak üçüncü kişiye devrettiği h,54,49,2
568,Mirasbırakan,43,37,2
569,Mirası artmirasçıya geçirme yükümlülüğü ile saklı pay ı zedelenen mirasçı,17,17,2
570,Tenkis,49,42,3
571,Tenkis davası açma hakkı,64,58,4
572,Mirasbırakan,65,57,4
573,Mirasbırakan,94,74,5
575,Miras,26,24,3
576,Miras,34,31,3
577,Bu Kanuna göre mirasa ehil olmayanlar dışındaki herkes mirasçı olabileceği gibi,58,54,3
578,Aşağıdaki kimseler,90,60,3
579,Mirastan yoksunluk,24,20,3
580,Mirasçı olabilmek için mirasbırakanın ölümü anında mirasa ehil olarak sağ olmak şarttır,31,28,3
581,Vasiyet alacaklısı olabilmek için mirasbırakanın ölümü anında mirasa ehil olarak sağ olmak şarttır,33,30,3
582,Cenin,15,13,3
583,Mirasın açıldığı anda h enüz var olmayan bir kimseye artmirasçı veya art vasiyet alacaklısı olarak,122,96,6
585,Gaip ortaya çıkarsa veya üstün hak sahibi olduklarını ileri sürenler bu sıfatlarını ispat ederlerse,49,45,3
586,Ortada bulunma yan ve mirasın açıldığı anda sağ olup olmadığı ispat edilemeyen mirasçının miras payı resmen yönetilir,70,52,4
587,Gaibin mirasçıları tereke mallarını teslim aldıktan sonra gaibe bir miras düşerse,53,42,3
588,Sağ olup olmadığı bilinmeyen bir kimsenin malvarlığı veya ona düşen miras payı on yıl resmen yönetilirse ya da malvarlığı böyle yönetilenin yüz yaşını dolduracağı süre geçerse,194,151,8
590,Aşağıdaki sebeplerden birinin gerçekleşmesi h,54,51,2
591,Yazımı yapılan tereke mallarından gerekenler mühürlenir,74,66,7
592,Aşağıdaki h,107,90,5
593,Terekeyi resmen yöneten sulh h,200,165,4
594,Mirasbırakanın mirasçısı bulunup bulunmadığı veya mirasçıların tamamı bilinmiyorsa,71,63,3
595,Mirasbırakanın ölümünden sonra ele geçen vasiyetnamesin in,88,78,4
596,Vasiyetname,68,64,5
597,Mirasta hak sahibi olanların her birine gideri terekeye ait olmak üzere,38,34,3
598,Başvurusu üzerine yasal mirasçı oldukları belirlenenlere,81,61,5
599,Mirasçılar,71,56,5
600,Vasiyet alacaklısı,90,75,5
601,Kendisine bir intifa hakkı veya bir irat hakkı ya da be lli aralıklarla tekrarlanan diğer bir edim vasiyet edilen kimsenin istem hakkı,57,45,3
602,Vasiyet alacaklısının dava hakkı,65,53,4
604,Mirasçılar,44,38,3
605,Yasal ve atanmış mirasçılar mirası reddedebilirler,26,26,3
606,Miras,38,34,3
607,Koruma önlemi olarak terekenin yazımı h,29,28,2
608,Mirası reddetmeden ölen mirasçının ret hakkı kendi mirasçılarına geçer,129,93,9
610,Yasal süre içinde mirası reddetmeyen mirasçı,74,65,4
611,Yasal mirasçılardan biri mirası reddederse onun payı,65,59,4
612,En yakın yasal mirasçıların tamamı tarafından reddolunan miras,33,31,3
613,Altsoyun tamamının mirası reddetmesi h,16,16,2
614,Mirasçılar,58,48,4
615,Önemli sebeplerin varlığı h,25,25,2
616,Vasiyet alacaklısının vasiyeti reddetmesi h,21,20,2
617,Malvarlığı borcuna yetmeyen mirasçı,79,72,5
618,Ödemeden,61,55,4
619,Mirası reddetmeye hakkı olan her mirasçı,42,40,4
620,Resm,82,72,6
621,Sulh mahkemesi,77,73,6
622,Resm,27,26,3
623,İl,46,41,4
624,Defter tutma süresince ancak zorunlu yönetim işle ri yapılabilir,29,29,3
625,Resm,35,34,4
626,Defteri inceleme süresi bittikten sonra her mirasçı,38,38,3
627,Mirasçılardan her biri,48,39,3
628,Resm,42,36,4
629,Alacaklarını süresi içinde yazdırmayan alacaklılara karşı mirasçı,58,52,4
630,Mirasbırakanın kefaletten doğan borçları defterde ayrı bir yere yazılır ve mirasçılar,46,45,2
631,Mirasın De vlete geçmesi h,37,36,3
632,Her mirasçı,42,34,4
633,Mirasbırakanın alacaklarını elde edemeyeceklerinden inandırıcı sebeplerle kuşku duyan alacaklıları,52,48,3
634,Resm,93,72,6
635,Resm,85,71,5
636,Mevcudu borçlarını ödemeye yetmeyen terekenin tasfiyesi,21,21,2
637,Yasal veya atanmış mirasçı,57,54,4
638,Miras sebebiyle istihkak davasının kabulü h,33,28,3
639,Miras sebebiyle istihkak davası,62,54,3
640,Birden çok mirasçı bulunması h,101,82,7
641,Mirasçılar,48,40,3
642,Mirasçılardan her biri,107,85,6
643,Mirasın açıldığı tarihte,31,31,3
644,Bir mirasçı,83,68,4
645,Mirasb ırakanın ölümünde onunla birlikte yaşayan ve onun tarafından bakılan kimseler,32,31,2
646,Yasal mirasçılar,48,44,4
647,Mirasbırakan,56,51,4
648,Açılmış mirasta bi r mirasçının payını devralmış veya haczettirmiş olan ya da elinde mirasçıya karşı alınmış borç ödemeden aciz belgesi bulunan alacaklı,41,39,2
649,Kanunda aksine bir hüküm bulunmadıkça mirasçıla r,54,52,4
650,Mirasçıla r,53,48,6
651,Değerinde önemli azalma olmadan bölünemeyen tereke malı,63,53,5
652,Eşlerden birinin ölümü h,104,83,5
653,Mirasçılardan birinin karşı çıkması h,73,63,5
654,Mirasb ırakanın bir mirasçıdaki alacağı,17,17,2
655,Paylaşmada kendisine mirasbırakanın borçları için rehnedilmiş bir tereke malı düşen mirasçı,23,23,2
656,Taşınmazların bölünmelerine il işkin kanun hükümleri saklıdır,13,13,2
657,Taşınmazlar,24,20,3
658,Mirasçılar özgülenme değeri üzerinde uyuşamazlarsa,21,21,2
659,,5,5,1
660,,7,7,1
661,,8,8,1
662,,7,7,1
663,,8,8,1
664,,7,7,1
665,,9,9,1
666,,5,5,1
667,,4,4,1
668,,9,9,1
669,Yasal mirasçılar,57,56,3
670,Mirasın açılmasından önce veya sonra mirasçılık sıfatını kaybeden mirasçıya ait geri verme yükümlülüğü,34,31,2
671,Geri vermekle yükümlü olan mirasçı,38,35,3
672,Yapılan kazandırma miras payını aştığı takdirde mirasçı,29,29,3
673,Denkleştirme,74,60,5
675,Olağan hediyeler ile evlenme sırasında yapılan geleneğ e uygun giderler denkleştirmeye t,57,52,4
676,Mirasçılar arasında payların oluşturulması ve fiilen alınması veya aralarında yapacakları paylaşma sözleşmesi mirasçıları bağlar,48,43,4
677,Terekenin tamamı veya bir kısmı üzerinde miras payının devri konusunda mirasçılar arasında yapılan sözleşm elerin geçerliliği yazılı şekle bağlıdır,55,50,4
678,Mirasbırakanın katılması veya izni olmaksızın bir mirasçın ın henüz açılmamış bir miras hakkında diğer mirasçılar veya üçüncü bir kişi ile yapacağı s özleşmeler geçerli değildir,44,40,3
679,Paylaşmanın tamamlanmasından sonra mirasçılar,74,64,4
680,Borçlar Kanununun geçersizliğe ilişkin genel hükümleri,21,21,2
681,Mirasçılar,47,44,3
682,Paylaşma sözleşmesinde ödenmesi kendisine yükletilmemi ş olan bir tereke borcunu veya üzerine aldığı miktardan fazlasını ödeyen mirasçı,65,59,4
683,Bir şeye malik olan kimse,50,47,3
684,Bir şeye ma lik olan kimse,41,36,3
685,Bir şeyin maliki,46,38,4
686,Bir şeye ilişkin tasarruflar,58,47,4
687,Asıl şeye zilyet olan kimsenin sadece geçici olarak kullanması veya tüketmesi için özgülenen ya da asıl şeyin özel niteliği il e herhangi bir ilişkisi bulunmadan sadece korunmak,47,44,2
688,Paylı mülkiyette birden çok kimse,48,46,5
689,Paydaşlar,91,81,4
690,Paydaşlardan her biri olağan yönetim işlerini yapmaya,45,40,3
691,İşletme usulünün veya tarım türünün değiştirilmesi,93,74,4
692,Paylı malın özgülendiği amacın değiştirilmesi,53,46,3
693,Paydaşlardan her bi ri,91,76,7
695,Yararlanma,59,44,3
696,Kendi tutum ve davranışlarıyla veya malın kullanılmasını bıraktığı y a da fiillerinden sorumlu olduğu kişilerin tutum ve davranışlarıyla diğer paydaşların tamamına veya bir kısmına karşı olan yükümlülüklerini ağır biçimde çiğneyen payd aş,191,145,9
697,Bir paydaşın çıkarılmasına ilişkin hükümler,50,44,3
698,Hukuk,65,59,5
699,Paylaşma,85,73,5
700,Bir paydaşın kendi payı üzerinde i ntifa hakkı kurması h,45,41,2
701,Kanun veya kanunda öngörülen sözl eşmeler uyarınca oluşan topluluk dolayısıyla mallara birlikte malik olanların mülkiyeti,96,83,7
703,Elbirliği mülkiyeti,40,34,3
704,Taşınmaz mülkiyetinin konusu şunlardır,27,24,2
705,Taşınmaz mülkiyetinin kazanılması,43,42,4
706,Taşınmaz mülkiyetinin devrini amaçlayan sözleşmelerin geçerli olması,26,26,3
707,Tapu kütüğüne kayıtlı bir taşınmazın mülkiyetin in işgal yoluyla kazanılması,32,29,3
708,Birikme,75,67,4
709,Arazi kayması sınır değişikliğini gerektirmez,29,25,3
710,Arazi ka ymasının sınır değişikliğine yol açmayacağı ilkesi,46,44,4
711,Sınır,24,23,3
712,Geçer li bir hukuk,38,36,2
713,Tapu kütüğünde kayıtlı olmayan bir taşınmazı davasız ve aralıksız olarak yirmi yıl süreyle ve malik sıfatıyla zilyetliğinde bulunduran kişi,206,150,9
714,Kazandırıcı zamanaşımı sürelerinin hesaplanmasında,24,23,2
715,Sahipsiz yerler ile y ararı kamuya ait mallar,112,86,7
716,Mülkiyetin kazanılmasına esas olacak bir hukuk,71,64,4
717,Taşınmaz mülkiyeti,34,29,2
718,Arazi üzerindeki mülkiyet,34,33,3
719,Taşınmazın sınırları,37,33,4
720,Her arazi maliki,29,29,2
721,İki taşınmazı birbirinden ayırmaya yarayan duvar,32,30,1
722,Bir kimse kendi arazisindeki yapıda başkasının malzemesini ya da başkasının araz isindeki yapıda kendisinin veya bir başkasının malzemesini kullanırsa,76,58,4
723,Malzeme sökülüp alınmazsa arazi maliki,54,41,4
724,Yapının değeri açıkça arazinin değerinden fazlaysa,29,26,2
725,Bir yapının başkasına ait araziye taşırılan kısmı,81,67,3
726,Bir üst irtifakına dayalı olarak başkasına ait bir arazinin altında veya üs tünde sürekli kalmak üzere inşa edilen yapıların mülkiyeti,54,43,4
727,Su,66,55,4
728,Başkasının arazisi üzerinde kalıcı olması amaçlanmaksızın yapı lan kulübe,36,34,3
729,Bir kimse başkasının fidanını kendi arazisine ya da kendisinin veya bir üçüncü kişinin fidanını başkasının arazisine dikerse,43,35,3
730,Bir taşınmaz malikinin mülkiyet hakkını bu hakkın yasal kısıtlamalarına aykırı kullanması sonucunda zarar gören veya zarar tehlikesi ile karşılaşan kimse,54,49,3
731,Taşınmaz mülkiyetinin kanundan doğa n kısıtlamaları,49,44,4
732,Paylı mülkiyette bir paydaşın taşınmaz üzerindeki payını tamamen veya kısmen üçüncü kişiye satması h,28,28,2
733,Cebr,110,90,8
735,Tapu kütüğüne şerh verilen sözleşmeden doğan önalım hakkı,63,52,5
736,Tapu kütüğüne şerh verilen alım ve geri alım hakları,36,33,3
737,Herkes,64,57,3
738,Malik,39,39,3
739,Kazı ve yapılarda uyulması gerekli kurallar özel kanunlar la belirlenir,14,14,2
740,Komşunun arazisine taşarak zarar veren da l ve kökler,53,45,4
741,Komşu taşınmaz maliklerinin bitki dikerken uymak zorunda oldukları kurallar özel kanunlarla belirlenir,17,17,2
742,Taşınmaz maliki,51,46,4
743,Bir arazinin suyu öteden beri alt taraftaki araziye doğal bir şekilde akmakta ise,72,61,4
744,Her taşınmaz maliki,79,75,4
745,Yükümlü taşınmaz maliki,42,37,3
746,Durum değişirse,46,40,4
747,Taşınmazından genel yola çıkmak için yeterli geçidi bulunmayan malik,62,55,4
748,Taşınmaz malikinin taşınma zını işletme veya iyileştirme ya da taşınmazı üzerinde yapı yapma amacıyla komşu taşınmaza geçici olarak girme hakkı ile tarla yolu,71,66,5
749,Sınırlıklar üzerinde paylı mülkiyete ilişkin hükümler saklı kalmak üzere,38,34,3
750,Her taşınmaz maliki,29,27,2
751,Yetkili makamlar tarafından bitki örtüsünü koru mak amacıyla yasaklanmadıkça,48,44,3
752,Su,67,62,3
753,Bir kimse kendisini veya başkasını tehdit eden bir zararı veya o anda mevcut bir tehlikeyi anc ak başkasının taşınmazına müdahale ile önleyebilecek ve bu zarar ya da tehlike taşınmaza m üdahaleden doğacak zarardan önemli ölçüde büyük ise,60,52,3
754,Taşınmaz mülkiyeti ha kkının kamu yararı için kısıtlanması,78,68,2
755,Su yollarını düzeltme,71,64,5
756,Kaynaklar,67,59,6
757,Önemli ölçüde yararlanılan ve ya yararlanmak amacıyla suyu biriktirilen kaynakları veya kuyuları kazı,65,55,3
758,Bir taşınmazda oturmak,48,44,3
759,Değişik maliklere ait komşu kaynaklar,90,74,4
760,Özel mülkiyete t,40,34,3
761,Evi,62,59,4
762,Taşınır mülkiyetinin konusu,27,26,2
763,Taşınır mülkiyetinin nakli için zilyetliğin devri gerekir,40,40,3
764,Başkasına devredilen bir malın mülk iyetinin saklı tutulması kaydı,33,32,3
765,Taksit le mal satan kimse,26,26,2
766,Bir taşınırın mülkiyetini nakleden kimse özel bir hukuk,50,48,4
767,Sahipsiz bir taşınırı malik ol mak iradesiyle zilyetliğine geçiren kimse,17,16,2
768,Tutulan av hayvanları,48,38,4
769,Kaybedilmiş bir şeyi b ulan kimse,78,57,4
770,Bulu nan şeyin özenle korunması gerekir,52,46,5
771,Bulunan şeyin maliki,76,62,5
772,Bulunmalarından çok zaman önce gömülmüş veya saklanmış olduğu ve duruma göre artık malikin in bulunmadığı kesin olarak anlaşılan değerli şeyler,57,54,4
773,Bilimsel değeri olan sahipsiz doğal şeyler ile eski eserlerin bulunması h,22,21,2
774,Su,45,42,3
775,Bir kimse başkasına ait bir şeyi işler veya başka bir şekle sokarsa,58,49,4
776,Birden çok kişinin taşınır malları önemli bir zarara uğratılm adan veya aşırı bir emek ve para harcanmadan ayrılmayacak şekilde birbiriyle birleşmiş veya karışmışsa o kişiler,75,67,4
777,Başka sının taşınır bir malını davasız ve aralıksız beş yıl iyiniyetle ve malik sıfatıyla zilyetliğinde bulunduran kimse,104,83,5
779,Taşınmaz lehine irtifak hakkı,61,53,3
780,İrtifak hakkının kurulması için tapu kütüğüne tescil şarttır,37,33,4
781,İrtifak hakkının kurulmasına ilişkin sözleşmenin geçerli olması,17,16,2
782,Malik kendisine ait iki taşınmazdan biri üzerinde diğe rinin lehine irtifak hakkı kurabilir,18,18,2
783,İrtifak hakkı,22,22,2
784,Yüklü ve yararlana n taşınmazlara aynı kimse malik olursa,25,23,3
785,Lehine irtifak kurulan taşınmaz için bu hakkın sağladığı hiç bir yarar kalmam ışsa,43,38,3
786,İrtifak hakkı sahibi,39,35,3
787,İrtifaktan doğan yetki ve yükümlülükleri açıkça belirlediği ölçüde tescil,41,39,3
788,Yararlanan taşınma zın ihtiyaçlarındaki değişiklik,17,16,2
789,Tarla yolu,40,36,2
790,İrtifak hakkının kullanılması için gerekli tesislerin bakımı,37,35,3
791,İrtifak hakkı yüklü taşınmazın yalnı z belli bir kısmının kullanılması koşuluyla kurulmuşsa,67,56,4
792,Yararlanan taşınmazın parsellere bölünmesi h,63,51,4
793,Yüklü taşınmazın parsellere bölünmesi h,73,57,4
794,İntifa hakkı,26,25,3
795,İntifa hakkı,60,46,5
796,İntifa hakkı,43,37,3
797,İntifa hakkı,34,30,3
798,Malik,40,36,3
799,İntifa hakkı sona erince hak sahibi,17,17,2
800,İntifa hakkı sahibi,47,40,4
801,İntifa hakkı sahibi,41,36,3
802,Geri verme anında malik ve intifa hakkı sahibi tarafından ileri sürülebilecek bütün istem hakları,34,30,2
803,İntifa hakkı sahibi,34,31,3
804,İntifa hakkı süresi içinde olgunlaşan doğal ürünler,52,43,4
805,İntifa hakkına konu olan sermayenin faizleri ve diğer dönemsel gelirleri,34,33,2
806,Sözleşmede aksine hüküm yoksa veya durum ve koşullardan hak sahibince şahsen kullanılması gerektiği anlaşılmıyorsa,54,51,4
808,Haklarının tehlikeye düştüğünü ispat eden malik,44,37,4
809,İntifa hakkı k endisinde kalmak üzere yapılan bağışlamalarda bağışlayandan güvence istenemez,15,14,2
810,İntifa hakkı sahibi,46,42,2
811,Malik veya intifa hakkı sahibi,29,26,2
812,İntifa hakkı sahibi,61,50,4
813,İntifa hakkı konusu olan malın olağan bakım ve işletme giderleri,83,60,5
814,Malvarlığı intifaında,41,33,4
815,Yerel,53,45,3
816,Bir taşınmaz üzerinde intifa hakkına sahip olan kimse,30,30,3
817,İntifa hakkı sahibi,56,43,3
818,Bir orman üzerinde intifa hakkına sahip olan kimse,167,124,8
820,Bir alacak üzerindeki intifa hakkı,66,51,4
821,Alacaklı ve intifa hakkı sahibinden birine ödemeye yetkili kılınmamış olan borçlu,56,46,4
822,İntifa hakkı sahibi,72,60,4
823,Oturma hakkı,87,67,7
825,Oturma hakkı,57,43,3
826,Bir taşınmaz maliki,67,55,5
827,Üst hakkının içerik ve kapsamıyla ilgili olarak resm,40,38,2
828,Üst hakkı sona erince yapılar,59,46,5
829,Taşınmaz maliki,97,70,6
830,Taşınmaz malikine kalan yapılar için üst hakkı sahibine ödenmesi kararlaştırıl an bedelin miktarı ve bunun hesaplanış biçimi ile bu bedel borcunun kaldırılmasına ve arazinin ilk h,50,46,2
831,Üst hakkı sahibi,38,36,2
832,Malik,41,37,4
833,Üst hakkı sahibini n yükümlülüklerine aykırı davranması h,39,32,2
834,Malik,59,47,3
835,İpotek,31,29,3
836,Üst hakkı,46,37,4
837,Başkasının arazisinde bulun an kaynak üzerinde irtifak hakkı,249,161,15
841,Aksine hüküm yoksa,34,30,3
842,Bir para alacağını güvence altına almak ama cıyla kurulan taşınmaz yükü hakkında irat senedine ilişkin hükümler uygulanır,22,22,2
843,Taşınmaz yükü tescilin terkini veya yükl ü taşınmazın tamamen yok olmasıyla sona erer,35,28,3
844,Alacaklı,49,46,2
845,Yükümlü,75,64,4
846,Gerçek değerinin daha düşük olduğ unu ispat etme hakkı saklı kalmak kaydıyla,26,26,2
847,Taşınmaz yükü zamanaşımına t,25,23,3
848,Taşınmaz yükü,42,40,3
849,Taşınmaz maliki değişirse yeni malik,41,36,3
850,Taşınmaz rehni,20,19,2
851,Taşınmaz rehni,158,99,9
852,Sınırlayıcı hükümler saklı kalmak kaydıyla,33,33,3
853,Rehin hakkı,15,15,2
854,Rehin kurulurken,25,23,3
855,Birden çok taşınmazın aynı borç için rehnedilm esi,67,55,4
856,Taşınmaz rehni tapu kütüğüne tescil ile kurulur,30,29,4
857,Paylı mülkiyette paydaş kendi payını rehnedebilir,33,33,4
858,Taşınmaz rehni,25,24,3
859,Yetkili kamu kurum veya kuruluşu tarafından gerçekleştirilen parsel birleştirilmesi ve dağıtımı iş lemi sonucunda birleştirilen parsel üzerindeki rehinler,95,80,4
861,Rehinli bir taşı nmaz için bedel olarak ödenen para,55,50,3
862,Rehin,50,48,4
863,Kiraya verilmiş taşınmaz üzerindeki rehnin kapsamına,86,66,3
864,Rehnin tapu kütüğüne tescil edilmesinden s onra alacak için zamanaşımı işlemez,21,21,2
865,Malik,78,67,4
866,Rehinli taşınmazın değerinde düşme meydana gelmişse alacaklı,56,45,4
867,Değer düşmesi malikin kusuru olmadan meydana gelmişse alacaklı,78,70,5
868,Malik,48,44,2
869,Malikin rehinli taşınmaz üzerinde yeni sınırlı ayn,95,72,5
870,Rehnin sağladığı güvence,32,30,3
871,Aynı taşınmaz üzerinde farklı sıralarda kurulmuş bulunan rehin haklarından birinin terkin edilmiş ol ması,65,51,4
872,Sonraki sıralarda kurulmuş bir rehin hakkından önce gelen bir rehin mevcut değilse veya borçlu önceki bir rehin senedi üzerinde tasarruf etmemişse ya da önceki sırada bulunan rehinli alacak,59,51,2
873,Borç ödenmezse alacaklı,56,50,5
874,Rehinli taşınmazın satış bedeli,26,21,3
875,Taşınmaz rehninin alacaklıy a sağladığı güvencenin kapsamına şunlar girer,53,51,3
876,Alacaklı,37,36,2
877,Bir kamu kurum veya kuruluşunun katkısıyla iyileştirilen arazinin değerinde bir artma meydana gelirse malik,67,58,4
878,İyileştirme,45,41,3
879,Muaccel olan sigorta tazminatı,34,32,3
880,Acele karar alınması gereken h,45,43,2
881,H,37,36,3
882,Miktarı belirli olmayan veya değişebilen alacaklar da,62,59,5
883,Alacak son a erince ipotekli taşınmazın maliki,54,49,3
884,Borçtan şahsen sorumlu olmayan rehinli taşınmaz maliki,30,29,3
885,Değerini aşan bir borç için ipotek edilmiş olan bir taşınmazı edinen k imse,66,56,5
886,İpotekten kurtarma ihbarına karşı alacaklılar,77,65,5
887,İpotekli taşınmazın maliki borçtan şahsen sorumlu değilse,33,30,2
888,İpotekli taşı nmazın devri,40,38,3
889,İpotekli taşınmazın bir kısmının veya aynı malike ait bulunan ipotekli taşınmazlardan birini n başkasına devredilmesi ya da ipotekli taşınmazın bölünmesi h,88,73,4
890,Taşınmazın yeni maliki borcu yüklenirse,32,30,3
891,İpotekle güvence altına alınmış bir alacağın devrinin geçerli olması,26,24,2
892,Kanun,21,20,2
893,Aşağıdaki alacaklılar,80,62,3
894,Satıcıların,28,26,2
895,Zanaatk,51,45,5
896,Hakları değişik tarihlerde tescil edilmiş olsa bile zanaatk,22,22,2
897,Satış bedeli zanaatk,132,103,6
899,İpotekli borç senedi yoluyla r ehin kurulması için tapu idaresince taşınmaza resmen değer biçilir,28,22,3
900,İpotekli borç senedindeki alacak,32,32,2
901,İpotekli borç senedindeki borçtan kişisel olarak sorumlu olmayan rehinli taşınma z maliki hakkında ipoteğe ilişkin hükümler uygulanır,31,29,3
902,İpotekli borç senedinin güvencesi olan taşınmazın devrine veya bölünmesine ilişkin sonuç lar hakkında ipotek hükümleri uygulanır,23,23,2
903,İrat senedi,42,35,4
904,İrat senetlerindeki alacak miktarı,33,32,3
905,Değer biçilmesinde gereken özenin gösterilmemesinden Devlet sorumludur,17,16,3
906,İrat senedi ile yüklü olan taşınma zın maliki,60,47,3
907,İrat senedinin borçlusu yüklü taşı nmazın malikidir,40,35,4
908,İrat senediyle yüklü taşınmazın bölünmesi h,53,44,4
909,İpotekli borç senedi ve irat senedi koşul ve karşı edim kaydı içeremez,18,15,2
910,İpotekli bor ç senedinin veya irat senedinin düzenlenmesiyle birlikte dayanağı olan borç ilişkisi yenileme yoluyla sona erer,39,35,3
