madde_no,madde_baslik,token_count,unique_token_count,sentence_count
113,Durum ve koşullardaki değişmeler yüzünden vakıf senedinde yazılı amaca bağlı kalınması vakfedenin arzusuna açıkça uymayacak h,112,90,6
114,Yönetim organı her takvim yılının ilk üç ayı içinde vakfın bir önceki yıla ait malvarlığı durumunu ve çalışmalarını bir rapor h,35,33,2
115,İçişleri Bakanlığı,40,38,3
116,Amacın gerçekleşmesi olanaksız h,54,47,3
117,Vakıfların malları üzerinde zilyetlik yoluyla kazanma hükümleri uygulanmaz,53,46,4
118,Nişanlanma,21,20,3
119,Nişanlılık,33,31,3
120,Nişanlılardan biri haklı bir sebep olmaksızın nişanı bozdu ğu veya nişan taraflardan birine yükletilebilen bir sebeple bozulduğu takdirde,74,59,4
121,Nişanın bozulması yüzünden kişilik hakkı saldırıya uğrayan taraf,26,26,2
122,Nişanlılık evlenme dışındaki bir sebeple sona ererse,42,39,4
123,Nişanlılığın sona ermesinden doğan dava hakları,26,25,2
124,Erke k veya kadın onyedi yaşını doldurmadıkça evlenemez,41,36,4
125,Ayırt etme gücüne sahip olmayanlar evlenemez,13,13,2
126,Küçük,9,9,2
127,Kısıtlı,9,9,2
128,H,26,25,2
129,Aşağıdaki kimseler arasında evlenme yasaktır,60,44,2
130,Yeniden evlenmek isteyen kimse,16,16,2
131,Gaipliğine karar verilen kişinin eşi,42,35,4
132,Evlilik sona ermişse,40,38,4
133,Akıl hastaları,24,23,2
134,Birbiriyle evlenecek erkek ve kadın,31,29,3
135,Başvuru,11,11,2
136,Erkek ve k adınd an he r biri,52,47,2
137,Evlendirme memuru,54,48,4
138,Evleneceklerden her biri evlendirme memurunun ret kararına karşı mahkemeye başvurabilir,44,41,4
139,Evlendirme memuru,45,37,3
140,Evlenme k oşullarının bulunmadığının anlaşılması veya belgelerin verilmesinden başlayarak altı ayın geçmesi h,22,22,2
141,Evlenme töreni,54,49,3
142,Evlendirme memuru,65,51,7
144,Evlenme işlemi,26,24,2
145,Aşağıdaki h,51,37,2
146,Mutlak butlan davası,23,21,3
147,Sona ermiş bir evliliğin mutlak butlanı Cumhuriyet savcısı tarafından re,88,72,4
148,Evlenme sırasında geçici bir sebeple ayırt etme gücünden yoksun olan eş,17,17,2
149,Aşağıdak i durumlarda eşlerden biri evlenmenin iptalini dava edebilir,42,39,2
150,Aşağıdaki durumlarda eşlerden biri evlenmenin iptalini dava edebilir,41,37,2
151,Kendisinin veya yakınlarından birinin hayatı,31,29,2
152,İptal davası açma hakkı,32,30,2
153,Küçük veya kısıtlı,49,44,3
154,Kadının bekleme süresi b itmed en evlenmesi,15,15,2
155,Evlendirmeye yetkili memur önünde yapılmış olan bir evliliğin kanunun diğer şekil kurallarına uyulmaması sebebiyle butlanına karar verilemez,24,24,2
156,Batıl bir evlilik ancak h,27,25,3
157,Mahkemece butlanına kar ar ve rilen bir evlilikten doğan çocuklar,33,29,3
158,Evlenmenin butlanına karar verilirse,35,35,3
159,Evlenme nin butlanını dava etme hakkı mirasçılara geçmez,47,45,4
160,Evlenmenin butlanı davasında,68,58,5
162,Eşlerden her biri diğeri tarafından hayatına kastedilmesi veya kendisine pek kötü davranılması ya da ağır derecede onur kırıcı bir davranışta bulunulması sebebiyle boşanma davası açabilir,61,55,4
163,Eşlerden biri küçük düşür ücü b ir suç işler veya haysiyetsiz bir hayat sürer ve bu sebeplerden ötürü onunla birlikte yaşaması diğer eşten beklenemezse,32,31,2
164,Eşlerden biri,158,118,7
165,Eşlerden biri akıl hastası olup da bu yüzden ortak hayat diğer eş için çekilmez h,37,35,2
166,Evlilik birliği,194,149,10
167,Boşanma davası açmaya hakkı olan eş,14,12,2
168,Boşanma veya ayrılık davalarında yetkili mahkeme,26,25,2
169,Boşanma veya ayrılık davası açılınca h,37,32,2
170,Boşanma sebebi ispatlanmış olursa,36,28,4
171,Ayrılığa bir yıldan üç yıla kadar bir süre için karar verilebilir,26,23,3
172,Süre bitince ayrılık durumu kendiliğinden sona erer,41,39,4
173,Boşanma h,71,60,5
174,Mevcut veya beklenen menfaatleri boşanma yüzünden zedelenen kusursuz veya daha az kusurlu taraf,47,36,3
175,Boşanma yüzünden yoksulluğa düşecek taraf,140,100,8
177,Boşanmadan sonra açılacak nafaka davalarında,13,12,2
178,Evliliğin boşan ma se bebiyle sona ermesinden doğan dava hakları,24,22,2
179,Mal rejiminin tasfiyesinde eşlerin bağlı olduğu rejime ilişkin hüküm ler uygulanır,13,13,2
180,Ayrılığa karar verilirse mahkeme,24,23,2
181,Boşa nan e şler,63,57,3
182,Mahkeme boşa nma v eya ayrılığa karar verirken,113,91,6
183,Ana veya babanın başkasıyla evlenmesi,35,32,2
184,Boşanmada yargılama,89,80,7
185,Evlenmeyle eşler arasında evlilik birliği kurulmuş olur,43,37,4
186,Eşler oturacakları konutu birlikte seçerler,23,21,4
187,,21,21,2
188,Eşlerden her biri,58,48,3
189,Birliği temsi l yet kisinin kullanıldığı h,45,36,4
190,Eşlerden biri birliği temsil yetkisini aşar veya bu yetkiyi kullanmada yetersiz kalırsa h,61,50,4
191,Temsil yetkisinin kaldırılmasına veya sınırlanmasına ilişkin karar,34,30,3
192,Eşlerden her biri,37,32,3
193,Kanunda aksine hüküm bulunmadıkça,20,19,2
